tb_latitude,tb_longitude,collision_date,collision_time,month,primary_rd,secondary_rd,victim_gender,victim_age,victim_role,deaths,collision_summary
37.70860136,-122.4710062,1/1/24 20:26,20:26,January,JUNIPERO SERRA BLVD,ALEMANY BLVD,Male,42,Passenger,1,"On January 1 at 20:26, the driver of a sedan was speeding northbound, lost control of the vehicle, struck trees and vehicles, and was ejected. The driver succumbed to his injuries."
37.77430323,-122.4584156,1/31/24 05:18,05:18,January,FULTON ST,ARGUELLO BLVD,Male,63,Pedestrian,1,"On January 31 at 5:18, the driver of a minivan was traveling westbound, proceeded on a green light, and struck the victim, who was crossing northbound in the west side crosswalk."
37.71990031,-122.4749546,2/8/24 01:06,01:06,February,19TH AVE,CRESPI DR,Male,32,Driver,1,"On February 8 at 1:06, the driver of a sedan was speeding southbound on 19th Avenue and collided with a parked tow truck. The driver succumbed to their injuries."
37.77603932,-122.4025241,2/8/24 04:58,04:58,February,06TH ST,BRYANT ST,Male,31,Pedestrian,1,"On February 8 at 4:58, a driver of a pickup truck struck the victim, who was lying in the roadway for unknown reasons."
37.73103887,-122.4295675,2/25/24 18:40,18:40,February,ALEMANY BLVD,ROUSSEAU ST,Male,76,Pedestrian,1,"On February 25 at 18:40, a driver traveling eastbound struck the victim, who was crossing southbound in the east side crosswalk. The driver fled the scene."
37.78169559,-122.4151811,3/2/24 00:25,00:25,March,GOLDEN GATE AVE,HYDE ST,Male,41,Pedestrian,1,"On March 2 at 0:25, a driver of a pickup truck was parked on the north side of Golden Gate Avenue when the victim walked and stood in the roadway. The driver began traveling eastbound and struck the victim. The driver fled the scene and was later arrested. The victim was experiencing homelessness."
37.76879096,-122.4683676,3/8/24 15:20,15:20,March,MARTIN LUTHER KING JR DR,MUSIC CONCOURSE DR,Male,49,Driver,1,"On March 8 at 15:20, a driver of a motorcycle was speeding westbound and swerved to avoid a driver from the Music Concourse approach. The motorcyclist lost control, was ejected, and succumbed to their injuries."
37.7403,-122.4646,3/16/24 12:13,12:13,March,Ulloa St and Lenox Way,,Male,,Pedestrian,4,"On March 16 at 12:13, the driver of a sedan was speeding northbound, lost control of the vehicle, struck trees and vehicles, and was ejected. The driver succumbed to his injuries."
37.7489,-122.4407,3/30/24 10:27,10:27,March,Diamond St between 26th St and 25th St,,Male,85,Driver,1,"On March 30 at 10:27, the driver of a sedan was speeding northbound, lost control of the vehicle, struck trees and vehicles, and was ejected. The driver succumbed to his injuries."
37.7213,-122.4106,5/3/24 23:34,23:34,May,Mansell St and San Bruno Ave,,Male,25,Passenger,1,"On May 3 at 23:34, the driver was speeding eastbound on Mansell Street, ran the stop sign at San Bruno Avenue, struck a MUNI bus, and struck a building. The passenger of the vehicle later succumbed to their injuries a few days later."
