Asylum,Latitude,Longitude,Country,Year,
5,34.5553,69.2075,Afghanistan,2003,
553,-35.2809,149.131,Australia,2003,
0,48.2082,16.3738,Austria,2003,
5,50.8503,4.3517,Belgium,2003,
0,11.5564,104.9282,Cambodia,2003,
2257,45.4215,-75.6972,Canada,2003,
5,35.1856,33.3823,Cyprus,2003,
138,50.0755,14.4378,Czechia,2003,
15,55.6761,12.5683,Denmark,2003,
0,60.1699,24.9384,Finland,2003,
0,48.8566,2.3522,France,2003,
0,51.5074,-0.1278,United Kingdom,2003,
431,52.52,13.405,Germany,2003,
122,37.9838,23.7275,Greece,2003,
0,14.6349,-90.5069,Guatemala,2003,
48,47.4979,19.0402,Hungary,2003,
0,28.6139,77.209,India,2003,
123,53.3498,-6.2603,Ireland,2003,
0,41.9028,12.4964,Italy,2003,
23,35.6895,139.6917,Japan,2003,
0,51.1694,71.4079,Kazakhstan,2003,
13,42.8746,74.5857,Kyrgyzstan,2003,
20,37.5665,126.978,South Korea,2003,
5,29.3759,47.9774,Kuwait,2003,
5,19.4326,-99.1332,Mexico,2003,
5,3.139,101.6869,Malaysia,2003,
0,34.0209,-6.8498,Morocco,2003,
0,27.7172,85.324,Nepal,2003,
1247,52.3676,4.9041,Netherlands,2003,
0,59.9139,10.7522,Norway,2003,
29,-41.2865,174.7762,New Zealand,2003,
14,33.6844,73.0479,Pakistan,2003,
5,52.2297,21.0122,Poland,2003,
66,44.4268,26.1025,Romania,2003,
2142,-25.7479,28.2293,South Africa,2003,
0,40.4168,-3.7038,Spain,2003,
392,48.1486,17.1077,Slovakia,2003,
173,59.3293,18.0686,Sweden,2003,
543,46.947,7.4474,Switzerland,2003,
48,13.7563,100.5018,Thailand,2003,
16,39.9334,32.8597,Türkiye,2003,
5,24.4539,54.3773,United Arab Emirates,2003,
28,50.4501,30.5234,Ukraine,2003,
12776,38.9072,-77.0369,United States of America,2003,
0,10.4806,-66.9036,Venezuela,2003,
1009,-35.2809,149.13,Australia,2004,
0,48.2082,16.3738,Austria,2004,
175,50.8503,4.3517,Belgium,2004,
5,43.8564,18.4131,Bosnia and Herzegovina,2004,
5,42.6977,23.3219,Bulgaria,2004,
5,11.5564,104.9282,Cambodia,2004,
1812,45.4215,-75.6972,Canada,2004,
331,35.1856,33.3823,Cyprus,2004,
74,50.0755,14.4378,Czechia,2004,
10,55.6761,12.5683,Denmark,2004,
0,60.1695,24.9384,Finland,2004,
0,48.8566,2.3522,France,2004,
0,51.5074,-0.1276,United Kingdom,2004,
221,52.52,13.405,Germany,2004,
73,37.9838,23.7275,Greece,2004,
35,47.4979,19.0402,Hungary,2004,
0,28.6139,77.209,India,2004,
32,53.3498,-6.2603,Ireland,2004,
0,41.9028,12.4964,Italy,2004,
15,35.6895,139.6917,Japan,2004,
5,51.1694,71.4126,Kazakhstan,2004,
5,42.8746,74.6024,Kyrgyzstan,2004,
81,37.5665,126.978,South Korea,2004,
5,29.3759,47.9774,Kuwait,2004,
11,3.139,101.6869,Malaysia,2004,
0,34.0209,-6.8416,Morocco,2004,
0,27.7172,85.324,Nepal,2004,
728,52.3676,4.9041,Netherlands,2004,
0,59.9139,10.7522,Norway,2004,
32,-41.2865,174.7762,New Zealand,2004,
5,33.6844,73.0479,Pakistan,2004,
3791,-25.7461,28.2293,South Africa,2004,
0,40.4168,-3.7038,Spain,2004,
406,48.1486,17.1077,Slovakia,2004,
170,59.3293,18.0686,Sweden,2004,
239,46.947,7.4474,Switzerland,2004,
46,13.7563,100.5018,Thailand,2004,
67,39.9334,32.8597,Türkiye,2004,
5,24.4539,54.3773,United Arab Emirates,2004,
26,50.4501,30.5234,Ukraine,2004,
10301,38.8951,-77.0369,United States of America,2004,
0,10.4806,-66.9036,Venezuela,2004,
463,-35.2809,149.13,Australia,2005,
0,48.2082,16.3738,Austria,2005,
311,50.8503,4.3517,Belgium,2005,
6,43.8564,18.4131,Bosnia and Herzegovina,2005,
0,11.5564,104.9282,Cambodia,2005,
1890,45.4215,-75.6972,Canada,2005,
326,35.1856,33.3823,Cyprus,2005,
39,50.0755,14.4378,Czechia,2005,
15,55.6761,12.5683,Denmark,2005,
0,60.1695,24.9384,Finland,2005,
0,48.8566,2.3522,France,2005,
0,51.5074,-0.1276,United Kingdom,2005,
976,52.52,13.405,Germany,2005,
26,37.9838,23.7275,Greece,2005,
6,45.815,15.9819,Croatia,2005,
43,47.4979,19.0402,Hungary,2005,
0,28.6139,77.209,India,2005,
0,53.3498,-6.2603,Ireland,2005,
0,41.9028,12.4964,Italy,2005,
20,35.6895,139.6917,Japan,2005,
13,51.1694,71.4126,Kazakhstan,2005,
0,42.8746,74.6024,Kyrgyzstan,2005,
172,37.5665,126.978,South Korea,2005,
5,29.3759,47.9774,Kuwait,2005,
7,19.4326,-99.1332,Mexico,2005,
5,3.139,101.6869,Malaysia,2005,
0,34.0209,-6.8416,Morocco,2005,
395,52.3676,4.9041,Netherlands,2005,
0,59.9139,10.7522,Norway,2005,
6,-41.2865,174.7762,New Zealand,2005,
6,33.6844,73.0479,Pakistan,2005,
0,52.2297,21.0122,Poland,2005,
3894,-25.7461,28.2293,South Africa,2005,
5,24.7136,46.6753,Saudi Arabia,2005,
0,40.4168,-3.7038,Spain,2005,
300,48.1486,17.1077,Slovakia,2005,
66,59.3293,18.0686,Sweden,2005,
266,46.947,7.4474,Switzerland,2005,
46,13.7563,100.5018,Thailand,2005,
60,39.9334,32.8597,Türkiye,2005,
10005,38.8951,-77.0369,United States of America,2005,
0,10.4806,-66.9036,Venezuela,2005,
6,15.3694,44.2075,Yemen,2005,
0,41.3275,19.8189,Albania,2006,
404,-35.2809,149.1281,Australia,2006,
1128,48.2082,16.3667,Austria,2006,
150,50.8503,4.3517,Belgium,2006,
5,43.8564,18.4131,Bosnia and Herzegovina,2006,
5,42.6977,23.3219,Bulgaria,2006,
0,11.5564,104.916,Cambodia,2006,
1983,45.4215,-75.6972,Canada,2006,
282,35.1856,33.3823,Cyprus,2006,
105,50.0755,14.4208,Czechia,2006,
7,55.6761,12.5683,Denmark,2006,
8,60.1699,24.9384,Finland,2006,
0,48.8566,2.3522,France,2006,
0,51.5074,-0.1276,United Kingdom,2006,
677,52.52,13.405,Germany,2006,
0,37.9838,23.7275,Greece,2006,
66,47.4979,19.0402,Hungary,2006,
0,28.6139,77.209,India,2006,
49,53.3498,-6.2603,Ireland,2006,
5,31.7683,35.2137,Israel,2006,
0,41.9028,12.4964,Italy,2006,
15,35.6828,139.6917,Japan,2006,
16,51.1694,71.4344,Kazakhstan,2006,
7,42.8746,74.61,Kyrgyzstan,2006,
114,37.5665,126.978,South Korea,2006,
0,19.4326,-99.1332,Mexico,2006,
18,3.139,101.6869,Malaysia,2006,
0,47.8864,106.917,Mongolia,2006,
0,34.0209,-6.8498,Morocco,2006,
310,52.3676,4.9041,Netherlands,2006,
59,59.9139,10.7522,Norway,2006,
15,-41.2865,174.785,New Zealand,2006,
5,33.6844,73.0479,Pakistan,2006,
0,52.2297,21.0122,Poland,2006,
5,44.4268,26.1025,Romania,2006,
6,24.7136,46.6753,Saudi Arabia,2006,
0,40.4168,-3.7038,Spain,2006,
286,48.1486,17.1077,Slovakia,2006,
63,59.3293,18.0686,Sweden,2006,
190,46.9481,7.4474,Switzerland,2006,
67,13.7563,100.5018,Thailand,2006,
69,39.9334,32.8597,Türkiye,2006,
8,50.4501,30.5238,Ukraine,2006,
11151,38.8951,-77.0369,United States of America,2006,
0,10.4806,-66.9036,Venezuela,2006,
0,15.3694,44.2076,Yemen,2006,
0,41.3275,19.8189,Albania,2007,
541,-35.2809,149.1281,Australia,2007,
1024,48.2082,16.3667,Austria,2007,
0,50.8503,4.3517,Belgium,2007,
6,-15.8267,-47.9292,Brazil,2007,
5,43.8564,18.4131,Bosnia and Herzegovina,2007,
5,42.6977,23.3219,Bulgaria,2007,
0,11.5564,104.916,Cambodia,2007,
2322,45.4215,-75.6972,Canada,2007,
331,35.1856,33.3823,Cyprus,2007,
51,50.0755,14.4208,Czechia,2007,
17,55.6761,12.5683,Denmark,2007,
6,-0.2299,-78.4678,Ecuador,2007,
6,60.1699,24.9384,Finland,2007,
0,48.8566,2.3522,France,2007,
0,51.5074,-0.1276,United Kingdom,2007,
353,52.52,13.405,Germany,2007,
13,37.9838,23.7275,Greece,2007,
211,47.4979,19.0402,Hungary,2007,
0,28.6139,77.209,India,2007,
0,-6.2088,106.8456,Indonesia,2007,
110,53.3498,-6.2603,Ireland,2007,
14,31.7683,35.2137,Israel,2007,
0,41.9028,12.4964,Italy,2007,
19,35.6828,139.6917,Japan,2007,
14,51.1694,71.4344,Kazakhstan,2007,
0,42.8746,74.61,Kyrgyzstan,2007,
95,37.5665,126.978,South Korea,2007,
0,19.4326,-99.1332,Mexico,2007,
18,3.139,101.6869,Malaysia,2007,
5,47.8864,106.917,Mongolia,2007,
0,34.0209,-6.8498,Morocco,2007,
0,52.3676,4.9041,Netherlands,2007,
21,59.9139,10.7522,Norway,2007,
11,-41.2865,174.785,New Zealand,2007,
5,33.6844,73.0479,Pakistan,2007,
5,52.2297,21.0122,Poland,2007,
12,44.4268,26.1025,Romania,2007,
1139,-25.7461,28.0473,South Africa,2007,
0,55.7558,37.6173,Russian Federation,2007,
6,24.7136,46.6753,Saudi Arabia,2007,
5,1.3521,103.8198,Singapore,2007,
0,40.4168,-3.7038,Spain,2007,
6,48.1486,17.1077,Slovakia,2007,
80,59.3293,18.0686,Sweden,2007,
120,46.9481,7.4474,Switzerland,2007,
60,13.7563,100.5018,Thailand,2007,
55,39.9334,32.8597,Türkiye,2007,
8835,38.8951,-77.0369,United States of America,2007,
0,10.4806,-66.9036,Venezuela,2007,
0,41.3275,19.818889,Albania,2008,
8,30.033333,31.233334,Egypt,2008,
631,-35.282,149.128684,Australia,2008,
1021,48.20849,16.37208,Austria,2008,
0,50.85045,4.34878,Belgium,2008,
9,-15.783333,-47.929722,Brazil,2008,
5,43.8476,18.35644,Bosnia and Herzegovina,2008,
5,42.69751,23.32187,Bulgaria,2008,
3044,45.4215,-75.69812,Canada,2008,
221,35.166667,33.366667,Cyprus,2008,
16,50.08804,14.42076,Czechia,2008,
5,55.676111,12.568333,Denmark,2008,
25,-0.22985,-78.52495,Ecuador,2008,
7,60.16952,24.93545,Finland,2008,
0,48.85341,2.3488,France,2008,
0,51.507222,-0.1275,United Kingdom,2008,
425,52.52437,13.41053,Germany,2008,
9,37.984167,23.727778,Greece,2008,
5,14.634915,-90.506882,Guatemala,2008,
237,47.49801,19.03991,Hungary,2008,
0,28.613889,77.208889,India,2008,
5,-6.174444,106.829444,Indonesia,2008,
79,53.333056,-6.267222,Ireland,2008,
22,31.768318,35.213711,Israel,2008,
